"p","score","alg","seed","sco","nedges","edges"
10,"iBIC","hcmc",1,"-376.81074408835821",14,"1>10,1>4,1>5,1>7,10>2,2>5,3>4,3>5,3>9,4>5,4>6,5>6,5>9,6>9"
10,"iBIC","hcmc",2,"-376.81074408835815",14,"1>4,1>5,1>7,10>1,2>10,2>5,3>4,3>5,3>9,4>5,4>6,5>6,5>9,6>9"
10,"iBIC","hcmc",3,"-376.81074408835821",14,"1>4,1>5,1>7,10>1,2>10,2>5,3>4,3>5,3>9,4>5,4>6,5>6,5>9,6>9"
10,"iBIC","hillclimbing",1,"-379.44658302919504",15,"1>3,1>4,1>5,1>7,10>1,10>2,2>5,3>4,3>5,3>9,4>5,4>6,5>6,5>9,6>9"
10,"iBIC","hillclimbing",2,"-379.44658302919504",15,"1>3,1>4,1>5,1>7,10>1,10>2,2>5,3>4,3>5,3>9,4>5,4>6,5>6,5>9,6>9"
10,"iBIC","hillclimbing",3,"-379.44658302919504",15,"1>3,1>4,1>5,1>7,10>1,10>2,2>5,3>4,3>5,3>9,4>5,4>6,5>6,5>9,6>9"
10,"iBGe","hcmc",1,"-2115.213325539064",13,"1>10,1>4,1>5,10>2,2>5,3>4,3>5,3>9,4>5,4>6,5>6,5>9,6>9"
10,"iBGe","hcmc",2,"-2115.213325539064",13,"1>4,1>5,10>1,2>10,2>5,3>4,3>5,3>9,4>5,4>6,5>6,5>9,6>9"
10,"iBGe","hcmc",3,"-2115.2133255390645",13,"1>4,1>5,10>1,10>2,2>5,3>4,3>5,3>9,4>5,4>6,5>6,5>9,6>9"
10,"iBGe","hillclimbing",1,"-2115.213325539064",13,"1>10,1>4,1>5,10>2,2>5,3>4,3>5,3>9,4>5,4>6,5>6,5>9,6>9"
10,"iBGe","hillclimbing",2,"-2115.213325539064",13,"1>10,1>4,1>5,10>2,2>5,3>4,3>5,3>9,4>5,4>6,5>6,5>9,6>9"
10,"iBGe","hillclimbing",3,"-2115.213325539064",13,"1>10,1>4,1>5,10>2,2>5,3>4,3>5,3>9,4>5,4>6,5>6,5>9,6>9"
20,"iBIC","hcmc",1,"-435.52341199511983",53,"1>10,1>17,1>8,10>16,10>18,10>8,11>12,11>17,11>18,11>2,11>20,12>1,12>2,13>9,14>1,14>11,14>15,14>3,16>20,18>19,18>20,2>1,2>10,2>16,2>19,3>1,3>12,3>16,3>2,3>6,3>9,4>11,4>12,4>16,4>6,4>9,5>15,5>18,5>9,6>11,6>12,6>18,7>12,7>13,7>14,7>18,7>19,7>9,8>17,9>11,9>12,9>19,9>6"
20,"iBIC","hcmc",2,"-434.94282195553905",48,"1>10,1>17,1>2,1>3,1>8,10>16,10>18,10>8,11>17,11>18,11>20,12>1,12>11,12>2,12>6,12>7,12>9,13>9,14>11,14>15,14>3,16>20,18>19,18>20,2>10,2>16,2>19,2>6,3>16,3>6,3>9,4>11,4>16,4>6,4>9,5>15,5>18,5>9,6>11,6>18,7>13,7>14,7>18,7>19,7>9,8>17,9>11,9>19"
20,"iBIC","hcmc",3,"-436.46045150676315",51,"1>10,1>12,1>17,1>3,1>8,10>12,10>16,10>18,10>8,11>17,11>18,11>20,12>11,12>6,12>9,13>3,14>11,14>15,16>20,18>19,18>20,2>1,2>10,2>12,2>16,2>19,2>6,2>7,3>14,3>16,3>6,4>11,4>16,4>6,4>9,5>15,5>18,5>3,5>9,6>11,6>18,7>13,7>14,7>18,7>19,7>3,8>17,9>11,9>19,9>3,9>7"
20,"iBIC","hillclimbing",1,"-437.05220572439981",51,"1>10,1>17,1>8,10>16,10>18,10>8,11>17,11>18,11>20,12>1,12>11,12>3,12>7,12>9,13>9,14>1,14>11,14>15,16>20,18>19,18>20,2>1,2>10,2>12,2>16,2>19,2>4,3>1,3>14,3>16,3>9,4>11,4>16,4>3,4>9,5>15,5>18,5>9,6>11,6>18,6>2,6>3,6>4,7>13,7>14,7>18,7>19,7>9,8>17,9>11,9>19"
20,"iBIC","hillclimbing",2,"-437.05220572439981",51,"1>10,1>17,1>8,10>16,10>18,10>8,11>17,11>18,11>20,12>1,12>11,12>3,12>7,12>9,13>9,14>1,14>11,14>15,16>20,18>19,18>20,2>1,2>10,2>12,2>16,2>19,2>4,3>1,3>14,3>16,3>9,4>11,4>16,4>3,4>9,5>15,5>18,5>9,6>11,6>18,6>2,6>3,6>4,7>13,7>14,7>18,7>19,7>9,8>17,9>11,9>19"
20,"iBIC","hillclimbing",3,"-437.05220572439981",51,"1>10,1>17,1>8,10>16,10>18,10>8,11>17,11>18,11>20,12>1,12>11,12>3,12>7,12>9,13>9,14>1,14>11,14>15,16>20,18>19,18>20,2>1,2>10,2>12,2>16,2>19,2>4,3>1,3>14,3>16,3>9,4>11,4>16,4>3,4>9,5>15,5>18,5>9,6>11,6>18,6>2,6>3,6>4,7>13,7>14,7>18,7>19,7>9,8>17,9>11,9>19"
20,"iBGe","hcmc",1,"-4068.6659390196542",47,"1>10,1>17,1>8,10>16,10>18,11>17,11>18,11>20,12>1,12>11,12>2,12>6,13>7,13>9,14>11,14>15,14>3,16>20,18>19,18>20,2>1,2>10,2>16,2>19,2>6,3>1,3>16,3>6,3>9,4>11,4>16,4>6,4>9,5>15,5>18,5>9,6>11,6>18,7>12,7>14,7>18,7>19,7>9,8>17,9>11,9>12,9>19"
20,"iBGe","hcmc",2,"-4068.2595263738081",47,"1>10,1>17,1>3,1>8,10>16,10>18,11>17,11>18,11>20,12>1,12>11,12>2,12>6,12>9,13>7,13>9,14>11,14>15,14>3,16>20,18>19,18>20,2>1,2>10,2>16,2>19,2>6,3>16,3>6,3>9,4>11,4>16,4>6,4>9,5>15,5>18,5>9,6>11,6>18,7>12,7>14,7>18,7>19,7>9,8>17,9>11,9>19"
20,"iBGe","hcmc",3,"-4076.783828747537",47,"1>10,1>17,1>8,10>16,10>18,11>17,11>18,11>20,12>1,12>11,12>2,12>6,14>11,14>15,16>20,18>19,18>20,2>1,2>10,2>16,2>19,2>6,2>7,3>1,3>14,3>16,3>6,3>7,3>9,4>11,4>16,4>6,4>9,5>15,5>18,5>9,6>11,6>18,7>13,7>14,7>18,7>19,8>17,9>11,9>12,9>19,9>7"
20,"iBGe","hillclimbing",1,"-4062.3997126709824",48,"1>10,1>12,1>17,1>3,1>8,10>12,10>16,10>18,11>17,11>18,11>20,12>11,12>6,13>9,14>11,14>15,14>3,16>20,18>19,18>20,2>1,2>10,2>12,2>16,2>19,2>6,3>16,3>6,3>9,4>11,4>16,4>6,4>9,5>15,5>18,5>9,6>11,6>18,7>13,7>14,7>18,7>19,7>2,7>9,8>17,9>11,9>12,9>19"
20,"iBGe","hillclimbing",2,"-4062.3997126709824",48,"1>10,1>12,1>17,1>3,1>8,10>12,10>16,10>18,11>17,11>18,11>20,12>11,12>6,13>9,14>11,14>15,14>3,16>20,18>19,18>20,2>1,2>10,2>12,2>16,2>19,2>6,3>16,3>6,3>9,4>11,4>16,4>6,4>9,5>15,5>18,5>9,6>11,6>18,7>13,7>14,7>18,7>19,7>2,7>9,8>17,9>11,9>12,9>19"
20,"iBGe","hillclimbing",3,"-4062.3997126709824",48,"1>10,1>12,1>17,1>3,1>8,10>12,10>16,10>18,11>17,11>18,11>20,12>11,12>6,13>9,14>11,14>15,14>3,16>20,18>19,18>20,2>1,2>10,2>12,2>16,2>19,2>6,3>16,3>6,3>9,4>11,4>16,4>6,4>9,5>15,5>18,5>9,6>11,6>18,7>13,7>14,7>18,7>19,7>2,7>9,8>17,9>11,9>12,9>19"
30,"iBIC","hcmc",1,"-94.875750068347344",142,"1>12,1>17,1>2,1>22,1>28,1>8,10>11,10>14,10>16,10>18,10>19,10>2,10>21,10>22,10>25,10>26,11>12,11>17,11>18,11>20,11>21,12>29,12>30,13>16,13>18,13>22,13>23,13>24,13>25,13>26,13>27,14>15,14>18,14>21,14>22,14>24,14>26,14>3,16>18,16>20,16>21,16>22,16>25,16>26,17>21,17>25,17>27,17>30,18>19,18>20,18>23,18>27,18>29,18>30,19>22,19>23,19>24,2>12,2>19,2>21,2>27,2>29,2>30,2>7,20>23,20>24,21>18,21>22,21>29,21>30,22>29,23>22,23>27,24>22,24>23,24>29,24>30,25>21,25>27,26>11,26>18,26>25,26>27,28>17,28>19,28>2,28>23,28>24,28>27,3>13,3>29,3>30,3>4,3>9,30>15,30>22,30>29,4>11,4>16,4>26,4>29,4>30,4>9,5>15,5>18,5>23,5>24,5>25,5>28,6>11,6>18,6>21,6>23,6>24,6>25,7>11,7>13,7>14,7>17,7>19,7>25,7>26,7>9,8>11,8>17,8>20,8>21,8>22,8>23,8>24,8>25,8>26,8>29,8>30,9>11,9>12,9>13,9>18,9>19,9>24,9>25,9>29"
30,"iBIC","hcmc",2,"-114.13172390792798",146,"1>12,1>2,1>22,10>11,10>16,10>18,10>19,10>2,10>21,10>22,10>23,10>25,10>26,11>12,11>17,11>18,11>20,11>21,12>29,12>30,13>16,13>18,13>2,13>22,13>23,13>24,13>25,13>26,13>27,14>10,14>15,14>18,14>21,14>22,14>26,14>3,14>7,16>20,16>21,16>22,16>23,16>24,16>25,16>26,17>1,17>21,17>25,17>27,17>30,18>19,18>27,18>29,18>30,19>22,19>23,19>27,2>12,2>29,2>30,20>2,21>18,21>22,21>27,21>29,21>30,22>29,23>20,23>22,23>28,24>18,24>19,24>20,24>22,24>23,24>29,24>30,25>21,25>24,25>27,25>28,26>11,26>18,26>20,26>24,26>25,26>28,27>23,27>28,28>1,28>2,3>13,3>27,3>28,3>29,3>30,3>4,3>9,30>15,30>22,30>29,4>11,4>16,4>2,4>26,4>28,4>29,4>30,4>9,5>15,5>18,5>19,5>20,5>23,5>25,6>11,6>18,6>20,6>21,6>23,6>25,7>1,7>11,7>13,7>17,7>25,7>26,7>27,7>9,8>11,8>17,8>20,8>21,8>22,8>23,8>25,8>26,8>29,8>30,9>1,9>11,9>12,9>13,9>18,9>19,9>25,9>29"
